,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_error,std_test_error,delta
0,0.233152437210083,0.004547142580891204,0.00115814208984375,7.142243896953521e-05,0.0,10,"{'alpha': 0.0, 'hidden_layer_sizes': 10}",0.5625,0.453125,0.5703125,0.5546875,0.5137254901960784,0.5308700980392157,0.04350094310211838,16,-0.5308700980392157,0.04350094310211838,0.04350094310211838
1,0.2557217121124268,0.003156969678496303,0.00122222900390625,2.0289182941729167e-05,0.0,25,"{'alpha': 0.0, 'hidden_layer_sizes': 25}",0.58984375,0.56640625,0.5859375,0.57421875,0.5764705882352941,0.5785753676470587,0.008398512625901218,12,-0.5785753676470587,0.008398512625901218,0.008398512625901218
2,0.29523429870605467,0.009577051427449168,0.0011719226837158202,9.162281751427879e-05,0.0,50,"{'alpha': 0.0, 'hidden_layer_sizes': 50}",0.578125,0.58203125,0.58984375,0.61328125,0.6078431372549019,0.5942248774509804,0.01396916043938043,5,-0.5942248774509804,0.01396916043938043,0.01396916043938043
3,0.33023858070373535,0.0825885143097689,0.0029864788055419924,0.0032447177194870782,0.0,100,"{'alpha': 0.0, 'hidden_layer_sizes': 100}",0.609375,0.5859375,0.61328125,0.55078125,0.5882352941176471,0.5895220588235295,0.022244071265779475,9,-0.5895220588235295,0.022244071265779475,0.022244071265779475
4,0.23950552940368652,0.010438131332821097,0.0012320995330810547,6.5037407056132e-05,0.0001,10,"{'alpha': 0.0001, 'hidden_layer_sizes': 10}",0.59765625,0.52734375,0.6015625,0.5546875,0.5254901960784314,0.5613480392156862,0.03293001186970625,13,-0.5613480392156862,0.03293001186970625,0.03293001186970625
5,0.26210665702819824,0.0056932657242815534,0.001188516616821289,1.922665133442656e-05,0.0001,25,"{'alpha': 0.0001, 'hidden_layer_sizes': 25}",0.58984375,0.5859375,0.5859375,0.57421875,0.5725490196078431,0.5816973039215686,0.006956191255542726,10,-0.5816973039215686,0.006956191255542726,0.006956191255542726
6,0.2945296287536621,0.013731360309453326,0.0012350082397460938,0.00011524405393952983,0.0001,50,"{'alpha': 0.0001, 'hidden_layer_sizes': 50}",0.58984375,0.59375,0.59375,0.609375,0.615686274509804,0.6004810049019608,0.010139698402623954,3,-0.6004810049019608,0.010139698402623954,0.010139698402623954
7,0.3346165657043457,0.08717754822238305,0.0014287948608398438,0.00012575800586790172,0.0001,100,"{'alpha': 0.0001, 'hidden_layer_sizes': 100}",0.609375,0.6015625,0.6171875,0.546875,0.6,0.595,0.02483146315664866,4,-0.595,0.02483146315664866,0.02483146315664866
8,0.23780431747436523,0.007885267521636565,0.0011989116668701173,2.1907852394657508e-05,0.0003,10,"{'alpha': 0.0003, 'hidden_layer_sizes': 10}",0.5625,0.51953125,0.5703125,0.5546875,0.5411764705882353,0.549641544117647,0.01786828059576416,15,-0.549641544117647,0.01786828059576416,0.01786828059576416
9,0.25920867919921875,0.0034346268140195172,0.001258516311645508,8.499702263305229e-05,0.0003,25,"{'alpha': 0.0003, 'hidden_layer_sizes': 25}",0.58984375,0.56640625,0.578125,0.578125,0.5843137254901961,0.5793627450980392,0.007814070151712264,11,-0.5793627450980392,0.007814070151712264,0.007814070151712264
10,0.31378870010375975,0.0014511199199656166,0.0012928009033203124,0.00015065523429999043,0.0003,50,"{'alpha': 0.0003, 'hidden_layer_sizes': 50}",0.59765625,0.5859375,0.62109375,0.609375,0.611764705882353,0.6051654411764706,0.012174427100569301,1,-0.6051654411764706,0.012174427100569301,0.012174427100569301
11,0.3325850009918213,0.07885607833625337,0.0021930217742919924,0.0016957426960888095,0.0003,100,"{'alpha': 0.0003, 'hidden_layer_sizes': 100}",0.59375,0.59375,0.6171875,0.5390625,0.611764705882353,0.5911029411764706,0.02767502154814539,8,-0.5911029411764706,0.02767502154814539,0.02767502154814539
12,0.25548806190490725,0.016935266721210894,0.0013822078704833984,0.0002509775930697298,0.0005,10,"{'alpha': 0.0005, 'hidden_layer_sizes': 10}",0.5859375,0.5234375,0.5703125,0.5546875,0.5372549019607843,0.5543259803921569,0.02236294979318512,14,-0.5543259803921569,0.02236294979318512,0.02236294979318512
13,0.26026172637939454,0.003468944049146377,0.0012253284454345702,4.109954594990433e-05,0.0005,25,"{'alpha': 0.0005, 'hidden_layer_sizes': 25}",0.63671875,0.58203125,0.58203125,0.578125,0.5882352941176471,0.5934283088235295,0.02188609997048932,7,-0.5934283088235295,0.02188609997048932,0.02188609997048932
14,0.3027349948883057,0.00693465169960997,0.0012259960174560546,2.6607940697743024e-05,0.0005,50,"{'alpha': 0.0005, 'hidden_layer_sizes': 50}",0.60546875,0.58203125,0.58984375,0.60546875,0.6235294117647059,0.6012683823529412,0.014362653604239134,2,-0.6012683823529412,0.014362653604239134,0.014362653604239134
15,0.3305974960327148,0.08629243697984142,0.0014081478118896484,9.736255817930397e-05,0.0005,100,"{'alpha': 0.0005, 'hidden_layer_sizes': 100}",0.60546875,0.6015625,0.62109375,0.5390625,0.6,0.5934375000000001,0.028196956562278132,6,-0.5934375000000001,0.028196956562278132,0.028196956562278132
